
System 2767.11 (MHz) duration 30 (sec) CPU avg. 112.70%
 CPU     Cycles     Instructions  CPI   Avg (%)  Max (%) 
  9   12737650619.0  18158432389.0  0.70   23.64    23.64  
  10   3252944728.0   3921888557.0  0.83    5.59     5.59  
  11    20057186.0     5242113.0    3.83    0.03     0.03  
  12   8613342317.0  10568809795.0  0.81   10.36    10.36  
  13    7293944.0      1630336.0    4.47    0.01     0.01  
  14  14309414305.0  17334948957.0  0.83   21.31    21.31  
  15  12550114728.0  18148861642.0  0.69   15.58    15.58  
System 1586.48 (MHz) duration 30 (sec) CPU avg. 400.01%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   29112853692.0  40856151829.0  0.71   61.17    61.17  
  1   24590673973.0  36234898179.0  0.68   35.94    35.94  
  2   10332878621.0  13277054485.0  0.78   14.87    14.87  
  3   25115230093.0  36351965473.0  0.69   69.77    69.77  
  4   15517336977.0  19043361021.0  0.81   18.71    18.71  
  5   24758989759.0  36215299333.0  0.68   55.48    55.48  
  6   11582028174.0  14571347478.0  0.79   13.81    13.81  
  7     3170244.0       708844.0    4.47    0.01     0.01  
  8   13698007692.0  17545570170.0  0.78   28.16    28.16  
  9   12783943395.0  18224503994.0  0.70   17.20    17.20  
  10  10572624414.0  13334206957.0  0.79   13.77    13.77  
  11    20165580.0     5341004.0    3.78    0.04     0.04  
  12  14461787791.0  17798362251.0  0.81   17.71    17.71  
  13    6520478.0      1480074.0    4.41    0.01     0.01  
  14  10341295443.0  13326768996.0  0.78   15.20    15.20  
  15  16307116222.0  19134784712.0  0.85   38.16    38.16  
System 1900.94 (MHz) duration 30 (sec) CPU avg. 301.13%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   57131048938.0  91422258745.0  0.62   100.18   100.18 
  1   20429451035.0  29515605647.0  0.69   26.61    26.61  
  2    5322005639.0   6908406399.0  0.77    6.40     6.40  
  3   20349652586.0  29478136423.0  0.69   24.52    24.52  
  4    5610925702.0   7010678633.0  0.80    7.15     7.15  
  5   20919028887.0  29561342369.0  0.71   46.75    46.75  
  6    6296787827.0   6475527055.0  0.97    7.50     7.50  
  7     76720423.0     12108202.0   6.34    0.10     0.10  
  8    5966437837.0   7046477873.0  0.85   10.88    10.88  
  9   10606417111.0  14799567436.0  0.72   13.36    13.36  
  10   6272116803.0   7474053545.0  0.84    8.21     8.21  
  11    83664274.0     13849668.0   6.04    0.17     0.17  
  12   1361953831.0   1079411558.0  1.26    1.84     1.84  
  13    19211000.0     4922597.0    3.90    0.04     0.04  
  14  10078802956.0  12854735600.0  0.78   23.31    23.31  
  15  10485727507.0  14804353070.0  0.71   24.11    24.11  
System 2766.48 (MHz) duration 30 (sec) CPU avg. 171.43%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   14613799407.0  18201387740.0  0.80   17.61    17.61  
  1   11128126800.0  13508614358.0  0.82   21.72    21.72  
  2    8086149874.0   8705805408.0  0.93   11.52    11.52  
  3   10891433763.0  13406873028.0  0.81   14.77    14.77  
  4    9766259047.0  10816669301.0  0.90   14.19    14.19  
  5   10648448484.0  13241449876.0  0.80   13.50    13.50  
  6    9321413760.0  10439271884.0  0.89   11.10    11.10  
  7     3211557.0      1311361.0    2.45    0.00     0.00  
  8    8611060587.0   9870238080.0  0.87   16.00    16.00  
  9    5881478357.0   6666814755.0  0.88   12.71    12.71  
  10   6710785704.0   7020114405.0  0.96    8.53     8.53  
  11    27429080.0     7257297.0    3.78    0.03     0.03  
  12   5662832779.0   5496102297.0  1.03    6.81     6.81  
  13    1321617.0       409031.0    3.23    0.00     0.00  
  14   7273455254.0   7903481879.0  0.92   13.25    13.25  
  15   5814175253.0   6673817249.0  0.87    9.68     9.68  
System 2111.64 (MHz) duration 30 (sec) CPU avg. 540.27%
 CPU      Cycles      Instructions  CPI   Avg (%)  Max (%) 
  0   50858338470.0  82856810324.0  0.61   80.28    80.28  
  1   37486840570.0  58301151961.0  0.64   82.40    82.40  
  2   17402543874.0  23614249650.0  0.74   20.73    20.73  
  3   37691420586.0  58344963563.0  0.65   49.69    49.69  
  4   18044241288.0  23870444996.0  0.76   31.90    31.90  
  5   37806381305.0  58261427618.0  0.65   105.09   105.09 
